age, workclass, education, marital-status, occupation, relationship, race, sex, hours-per-week, country, salary
39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 13, United-States, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, 40, United-States, <=50K
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 40, Cuba, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, 40, United-States, <=50K
49, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female, 16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 45, United-States, >50K
31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, 50, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 80, United-States, >50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 40, India, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, 30, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, 50, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 40, ?, >50K
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, 45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, 35, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, 40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female, 45, United-States, >50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 60, United-States, >50K
54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female, 20, United-States, <=50K
35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 40, United-States, <=50K
43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, 40, United-States, <=50K
59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female, 40, United-States, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, 40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, 40, United-States, <=50K
54, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, 60, South, >50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 80, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, 52, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male, 44, United-States, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, 40, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, 40, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, 15, United-States, <=50K
48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, 40, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, 40, United-States, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, 25, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 38, ?, >50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, <=50K
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 43, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, 50, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, 40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, 35, United-States, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 38, United-States, <=50K
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, 40, United-States, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, 43, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, 40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, 30, ?, <=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, 60, Honduras, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, 55, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 60, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, 40, United-States, >50K
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, 40, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 48, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, <=50K
32, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male, 40, ?, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, 40, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 45, United-States, >50K
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, 58, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, 40, United-States, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
25, ?, Some-college, Never-married, ?, Own-child, White, Male, 40, United-States, <=50K
