age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary,out,class
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0.97591305,1.0
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,0.6300273,1.0
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.98825383,1.0
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,0.7735924,1.0
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,0.7960975,1.0
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,0.15773359,1.0
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,0.9996327,1.0
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0.685687,0.0
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,0.8020206,0.0
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.20131011,0.0
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,0.27372646,0.0
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,0.6601791,0.0
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,0.9942451,1.0
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,0.8634727,1.0
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,>50K,0.47459054,0.0
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,0.99375147,1.0
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,0.9955918,1.0
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,0.9964981,1.0
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.83239144,1.0
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,0.69199044,0.0
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.11346293,0.0
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,0.9993661,1.0
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,0.9874857,1.0
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.9387494,1.0
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,0.9273394,1.0
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.25912854,0.0
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,0.998257,1.0
54,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,>50K,0.44701692,0.0
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,0.6019301,1.0
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.63149685,1.0
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,0.85563433,1.0
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,0.99959785,1.0
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,0.8103884,1.0
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0.7710473,1.0
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,0.9887593,1.0
48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,0.9946378,1.0
21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,0.99883586,1.0
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,0.8634704,1.0
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,38,?,>50K,0.85582197,0.0
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.432249,1.0
