age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,out,class,cluster
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0.032246888,0,-1
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0.38008767,0,-1
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0.02077188,0,-1
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0.30248654,0,-1
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,0.39587736,0,-1
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0.8861035,0,-1
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,0.0011802338,0,-1
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0.32961392,1,-1
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0.18889898,1,-1
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0.81637985,1,0
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,0.74313325,1,-1
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,0.38814557,1,-1
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0.005877334,0,1
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0.10075644,0,-1
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,0.51392996,1,-1
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0.024952007,0,-1
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0.0063678264,0,-1
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0.0071076723,0,-1
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0.17009117,0,-1
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,0.4376814,1,-1
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,0.866549,1,2
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20,United-States,0.0009567505,0,-1
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,0.020528642,0,-1
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0.08044698,0,-1
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0.09190014,0,-1
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0.7079966,1,-1
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0.0014850377,0,3
54,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,0.618683,1,-1
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0.4614281,0,-1
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.404218,0,4
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0.1210201,0,-1
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44,United-States,0.00038518207,0,-1
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0.30665493,0,-1
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0.2808531,0,-1
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,0.0041041,0,-1
48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,0.0065206615,0,-1
21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0.0011153739,0,-1
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,0.1964322,0,-1
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,38,?,0.21020313,1,-1
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.54873085,0,-1
31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,0.03094859,0,-1
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.56390053,0,-1
24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,0.47943637,0,-1
49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0.0068726344,0,-1
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,0.00070144975,0,5
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,0.6695828,1,-1
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,0.33751455,0,6
44,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0.44858915,0,-1
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.35488573,0,-1
29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,0.093454264,0,-1
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,0.3436681,0,-1
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30,?,0.00016016906,0,-1
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,0.9334527,1,-1
50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,0.6154934,1,-1
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0.3330407,0,-1
43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0.5225831,1,124
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0.038158644,0,-1
35,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,0.08609741,0,-1
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,0.35826263,0,7
