age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary,out,class,cluster
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0.0,0.032246888,0.0,18
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0.0,0.38008767,0.0,5
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0.0,0.02077188,0.0,17
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0.0,0.30248654,0.0,10
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,0.0,0.39587736,0.0,8
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0.0,0.8861034999999999,0.0,8
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,0.0,0.0011802338,0.0,1
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1.0,0.32961392,1.0,5
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1.0,0.18889898,1.0,2
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0,0.81637985,1.0,0
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,1.0,0.74313325,1.0,10
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,1.0,0.38814557,1.0,13
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0.0,0.0058773340000000006,0.0,19
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0.0,0.10075644,0.0,18
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,1.0,0.51392996,1.0,10
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0.0,0.024952007,0.0,10
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0.0,0.0063678264,0.0,11
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0.0,0.0071076723,0.0,9
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0.0,0.17009117,0.0,10
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,1.0,0.4376814000000001,1.0,4
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0,0.866549,1.0,13
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20,United-States,0.0,0.0009567505,0.0,1
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,0.0,0.020528642,0.0,14
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0.0,0.08044698,0.0,10
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0.0,0.09190014,0.0,4
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1.0,0.7079966,1.0,14
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0.0,0.0014850376999999998,0.0,11
54,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,1.0,0.618683,1.0,14
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0.0,0.4614281,0.0,17
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.0,0.404218,0.0,7
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0.0,0.1210201,0.0,18
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44,United-States,0.0,0.00038518207,0.0,11
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0.0,0.30665493,0.0,17
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0.0,0.2808531,0.0,14
