age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,class,out
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0,0.052279953
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0,0.40145355
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,0.027483298
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0,0.3573668
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,0,0.3434938
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0,0.87740624
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,0,0.0011755252
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1,0.3891275
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1,0.19453229
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1,0.8190154
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,1,0.77388537
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,1,0.4304318
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0,0.008505286
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0,0.1914897
40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,1,0.539068
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0,0.008289943
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0,0.004589224
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0,0.009518744
38,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.23107518
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,1,0.37627137
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1,0.89218736
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,0,0.00080972933
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,0,0.032055918
43,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,0.056177646
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0,0.06592902
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1,0.7366639
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,0.004668177
54,?,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,1,0.7462545
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0,0.5564849
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.42040575
