cluster,size,acc,tp,tn,fp,fn
-1,15651.0,0.8912529550827423,0.1152003066896684,0.776052648393074,0.03379975720401252,0.07494728771324516
0,17.0,1.0,0.0,1.0,0.0,0.0
1,67.0,0.7761194029850746,0.029850746268656716,0.746268656716418,0.014925373134328358,0.208955223880597
2,40.0,0.825,0.0,0.825,0.0,0.175
3,397.0,0.8085642317380353,0.8060453400503779,0.0025188916876574307,0.19143576826196473,0.0
4,45.0,0.9777777777777777,0.0,0.9777777777777777,0.0,0.022222222222222223
5,56.0,0.875,0.875,0.0,0.125,0.0
6,93.0,0.989247311827957,0.0,0.989247311827957,0.0,0.010752688172043012
7,759.0,0.696969696969697,0.04084321475625823,0.6561264822134387,0.03820816864295125,0.2648221343873518
8,20.0,1.0,0.0,1.0,0.0,0.0
9,38.0,0.5526315789473685,0.4473684210526316,0.10526315789473684,0.34210526315789475,0.10526315789473684
10,60.0,0.7166666666666667,0.6833333333333333,0.03333333333333333,0.2833333333333333,0.0
11,22.0,1.0,0.0,1.0,0.0,0.0
12,60.0,1.0,0.0,1.0,0.0,0.0
13,347.0,0.7406340057636888,0.008645533141210375,0.7319884726224783,0.005763688760806916,0.25360230547550433
14,64.0,0.625,0.421875,0.203125,0.25,0.125
15,11.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
16,102.0,0.7549019607843137,0.058823529411764705,0.696078431372549,0.0,0.24509803921568626
17,236.0,0.6949152542372882,0.690677966101695,0.00423728813559322,0.3050847457627119,0.0
18,314.0,0.6719745222929936,0.044585987261146494,0.6273885350318471,0.044585987261146494,0.28343949044585987
19,64.0,0.984375,0.0,0.984375,0.0,0.015625
20,93.0,0.5698924731182796,0.27956989247311825,0.2903225806451613,0.24731182795698925,0.1827956989247312
21,61.0,0.7704918032786885,0.7704918032786885,0.0,0.22950819672131148,0.0
22,117.0,1.0,0.0,1.0,0.0,0.0
23,17.0,1.0,0.0,1.0,0.0,0.0
24,16.0,1.0,0.0,1.0,0.0,0.0
25,12.0,0.5,0.0,0.5,0.0,0.5
26,35.0,1.0,0.0,1.0,0.0,0.0
27,45.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667
28,28.0,0.75,0.0,0.75,0.0,0.25
29,254.0,0.6535433070866141,0.07480314960629922,0.5787401574803149,0.05905511811023622,0.2874015748031496
30,43.0,0.5116279069767442,0.3023255813953488,0.20930232558139536,0.27906976744186046,0.20930232558139536
31,128.0,0.7734375,0.765625,0.0078125,0.2265625,0.0
32,31.0,0.7096774193548387,0.5806451612903226,0.12903225806451613,0.22580645161290322,0.06451612903225806
33,25.0,0.72,0.72,0.0,0.28,0.0
34,218.0,0.5688073394495413,0.2798165137614679,0.2889908256880734,0.22477064220183487,0.20642201834862386
35,13.0,1.0,0.0,1.0,0.0,0.0
36,112.0,0.9732142857142857,0.0,0.9732142857142857,0.0,0.026785714285714284
