age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class,cluster
69,Felony,Other,Male,0,-1.0,0,0,0,10
34,Felony,African-American,Male,0,-1.0,10,0,1,13
24,Felony,African-American,Male,4,-1.0,1,0,1,13
44,Misdemeanor,Other,Male,0,0.0,1,0,0,12
41,Felony,Caucasian,Male,14,-1.0,6,0,1,2
43,Felony,Other,Male,3,-1.0,0,0,0,10
39,Misdemeanor,Caucasian,Female,0,-1.0,2,0,0,6
27,Felony,Caucasian,Male,0,-1.0,1,0,0,15
23,Misdemeanor,African-American,Male,3,0.0,4,0,1,3
37,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,6
41,Felony,African-American,Male,0,-1.0,0,0,0,19
47,Felony,Caucasian,Female,1,-20.0,14,0,1,0
31,Felony,African-American,Male,7,22.0,3,0,1,13
37,Misdemeanor,Hispanic,Male,0,0.0,0,0,0,9
25,Felony,African-American,Male,3,-1.0,1,1,0,13
31,Felony,Caucasian,Male,6,-1.0,1,0,1,15
31,Felony,Caucasian,Male,5,-1.0,1,0,1,15
64,Felony,African-American,Male,13,-1.0,1,0,1,19
21,Felony,African-American,Male,1,-1.0,3,1,1,13
27,Misdemeanor,Caucasian,Male,0,0.0,0,0,1,4
21,Felony,Caucasian,Female,0,-2.0,1,0,0,0
24,Felony,Hispanic,Male,1,0.0,0,0,1,5
43,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,4
32,Misdemeanor,Other,Male,0,-1.0,1,0,0,12
27,Felony,African-American,Male,8,-1.0,17,0,1,13
26,Felony,African-American,Male,5,-1.0,0,0,1,13
33,Felony,African-American,Male,0,0.0,37,1,1,13
30,Felony,Caucasian,Male,9,0.0,44,1,1,15
32,Felony,African-American,Male,4,-1.0,1,1,1,13
55,Felony,Caucasian,Male,0,-1.0,2,0,0,2
49,Felony,Other,Male,7,-1.0,3,0,1,10
33,Misdemeanor,Caucasian,Female,4,-1.0,11,0,1,6
24,Misdemeanor,Caucasian,Male,1,0.0,1,0,1,4
34,Felony,African-American,Male,21,0.0,33,1,1,1
29,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0,4
21,Felony,African-American,Female,2,-1.0,79,1,0,7
51,Misdemeanor,African-American,Male,2,-1.0,1,0,0,3
29,Misdemeanor,Caucasian,Male,2,-1.0,0,0,1,4
51,Felony,African-American,Female,7,-1.0,1,0,0,7
29,Felony,African-American,Male,0,0.0,0,0,1,13
25,Misdemeanor,Caucasian,Male,9,-1.0,6,1,1,4
35,Felony,African-American,Male,13,-1.0,0,1,1,1
49,Misdemeanor,Caucasian,Male,0,0.0,0,0,0,4
29,Felony,African-American,Male,0,0.0,0,0,0,13
29,Felony,Caucasian,Male,1,-24.0,0,0,1,15
28,Felony,Other,Female,0,-1.0,0,0,0,18
31,Felony,African-American,Male,15,-1.0,135,0,1,1
24,Felony,African-American,Male,2,-1.0,1,0,1,13
30,Misdemeanor,Hispanic,Male,0,0.0,23,0,0,9
49,Misdemeanor,African-American,Male,4,-1.0,0,0,0,3
53,Felony,Caucasian,Male,8,-13.0,13,0,0,2
35,Felony,African-American,Male,5,-1.0,0,0,0,13
27,Felony,African-American,Male,15,-1.0,1,1,1,1
38,Misdemeanor,Caucasian,Male,4,-1.0,1,0,1,4
22,Felony,African-American,Male,1,-1.0,1,0,1,13
29,Felony,African-American,Male,4,-1.0,18,1,1,13
62,Misdemeanor,Hispanic,Male,0,0.0,-1,0,0,9
27,Felony,African-American,Male,6,0.0,30,0,1,13
33,Misdemeanor,Other,Male,0,-1.0,1,0,0,12
56,Misdemeanor,African-American,Female,0,0.0,3,0,0,8
45,Felony,Hispanic,Male,6,-1.0,241,0,1,5
22,Felony,Hispanic,Male,1,-1.0,1,0,0,5
39,Misdemeanor,African-American,Male,1,-1.0,4,0,0,3
29,Felony,African-American,Male,5,0.0,1,0,1,13
27,Felony,Caucasian,Male,1,-1.0,14,0,1,15
40,Felony,African-American,Male,2,-15.0,3,0,0,19
22,Misdemeanor,African-American,Male,1,0.0,16,0,1,3
22,Felony,Caucasian,Male,0,-1.0,57,1,0,15
26,Felony,African-American,Female,1,-1.0,2,0,1,7
32,Felony,African-American,Male,0,-1.0,1,0,0,13
41,Misdemeanor,African-American,Male,1,-1.0,1,0,0,3
30,Misdemeanor,African-American,Male,8,-1.0,1,1,1,3
50,Felony,Other,Male,0,-1.0,0,0,1,10
25,Felony,African-American,Male,14,-1.0,7,1,1,1
20,Felony,Other,Male,0,-1.0,1,0,1,10
22,Felony,African-American,Male,2,0.0,30,1,1,13
35,Misdemeanor,African-American,Female,1,-1.0,0,0,0,8
36,Felony,African-American,Male,9,0.0,3,0,1,1
26,Felony,Caucasian,Male,7,0.0,0,1,1,15
21,Felony,Other,Male,1,0.0,3,0,1,10
25,Felony,Caucasian,Male,9,-1.0,0,1,1,15
20,Felony,Caucasian,Female,0,-1.0,0,0,0,0
39,Felony,Caucasian,Male,2,-2.0,-1,0,1,15
54,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,6
44,Misdemeanor,Hispanic,Female,0,-2.0,1,0,0,16
19,Misdemeanor,African-American,Male,1,-10.0,9,0,1,3
30,Felony,African-American,Male,1,-1.0,0,0,0,13
39,Felony,Caucasian,Female,0,-1.0,1,0,1,0
24,Felony,Caucasian,Male,8,-1.0,12,0,1,15
30,Felony,Caucasian,Male,0,-1.0,5,0,0,15
31,Misdemeanor,Caucasian,Male,0,-1.0,38,0,0,4
39,Felony,Caucasian,Female,1,-1.0,106,0,0,0
43,Felony,Caucasian,Male,1,-30.0,1,0,0,2
21,Felony,African-American,Male,3,-1.0,6,1,1,13
38,Misdemeanor,Caucasian,Male,5,-1.0,2,0,1,4
34,Felony,Caucasian,Male,0,0.0,14,0,0,15
33,Felony,African-American,Male,5,0.0,0,0,1,13
37,Felony,African-American,Male,3,0.0,1,0,0,19
42,Felony,Caucasian,Male,1,0.0,0,0,1,2
41,Felony,African-American,Male,10,0.0,176,1,1,1
22,Felony,African-American,Male,0,-1.0,0,0,1,13
33,Felony,African-American,Male,28,-1.0,1,1,1,1
31,Misdemeanor,African-American,Male,1,-1.0,1,0,0,3
30,Felony,Other,Female,1,-1.0,1,0,0,18
31,Felony,Caucasian,Male,13,-1.0,471,1,1,15
27,Felony,African-American,Male,3,-1.0,0,1,1,13
52,Misdemeanor,Caucasian,Male,3,-2.0,0,1,0,4
33,Felony,African-American,Male,19,-1.0,0,1,1,1
42,Felony,Caucasian,Male,6,-4.0,-1,0,0,2
25,Felony,Caucasian,Female,2,-1.0,3,0,0,0
30,Misdemeanor,Caucasian,Male,1,-20.0,3,0,0,4
37,Misdemeanor,Other,Female,2,-1.0,1,0,0,17
28,Misdemeanor,Caucasian,Male,0,-1.0,0,0,1,4
24,Misdemeanor,African-American,Female,0,-1.0,2,0,0,8
29,Felony,Caucasian,Female,10,-1.0,7,0,1,0
44,Misdemeanor,Caucasian,Male,2,0.0,-1,0,1,4
32,Felony,African-American,Male,3,-1.0,8,0,1,13
31,Misdemeanor,Caucasian,Male,2,-16.0,15,0,1,4
31,Misdemeanor,African-American,Male,1,-1.0,1,0,1,3
59,Felony,Caucasian,Male,1,-1.0,0,0,1,2
20,Felony,African-American,Female,1,0.0,2,1,0,7
43,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,6
38,Felony,African-American,Male,9,-1.0,13,1,1,1
32,Felony,African-American,Male,11,-2.0,1,0,1,1
33,Misdemeanor,African-American,Male,8,-1.0,0,0,1,3
31,Felony,African-American,Female,0,-1.0,1,0,1,7
33,Felony,African-American,Female,7,-1.0,26,1,1,7
27,Felony,African-American,Male,2,-1.0,1,1,1,13
20,Felony,African-American,Female,0,0.0,0,0,0,7
26,Misdemeanor,Caucasian,Female,0,-2.0,0,0,0,6
61,Felony,African-American,Female,1,-1.0,0,0,1,7
52,Felony,Other,Male,13,-1.0,1,0,1,10
63,Felony,Hispanic,Male,1,-26.0,14,0,0,5
32,Felony,African-American,Female,4,-7.0,6,1,1,7
29,Felony,Hispanic,Male,1,-1.0,0,0,0,5
26,Misdemeanor,African-American,Female,2,-1.0,0,0,1,8
39,Misdemeanor,Caucasian,Male,1,-1.0,3,0,0,4
30,Felony,Caucasian,Female,3,0.0,530,0,1,0
