age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,class,out,cluster
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0,0.052279953,-1
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0,0.40145355,208
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,0.027483298,0
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0,0.3573668,-1
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,0,0.3434938,-1
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0,0.87740624,-1
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,0,0.001175525,-1
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1,0.3891275,1
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1,0.19453229,2
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1,0.8190154,3
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,1,0.77388537,-1
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,1,0.4304318,-1
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0,0.008505286,4
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0,0.1914897,-1
40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,1,0.539068,-1
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0,0.008289943,-1
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0,0.004589224,-1
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0,0.009518744,-1
38,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.23107518,-1
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,1,0.37627137,-1
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1,0.89218736,5
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,0,0.000809729,168
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,0,0.032055918,-1
43,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,0.056177646,-1
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0,0.06592902,-1
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1,0.7366639,-1
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,0.004668177,6
54,?,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,1,0.7462545,-1
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0,0.5564849,315
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.42040575,7
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0,0.20735735,-1
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,0,0.001277704,-1
45,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0,0.15449649,-1
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0,0.43321052,-1
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,0,0.007217448,-1
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,0,0.020809833,-1
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0,0.000801749,8
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,0,0.0710464,-1
31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,?,1,0.20301163,-1
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.5737648,-1
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,0,0.02628168,387
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.56480926,9
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,0,0.59189093,10
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0,0.007308729,11
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,0,0.002434324,12
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,1,0.77732164,-1
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,0,0.31186238,13
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,0.32575837,-1
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.22048314,-1
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,0,0.13727309,-1
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,0,0.3527411,-1
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,?,0,0.000621376,-1
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,1,0.92772335,-1
