age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary,out,class,cluster
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0.97591305,1.0,4
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,0.6300273000000001,1.0,43
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.98825383,1.0,22
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,0.7735924,1.0,36
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,0.7960975,1.0,25
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,0.15773359,1.0,25
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,0.9996326999999999,1.0,34
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0.6856869999999999,0.0,12
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,0.8020206,0.0,18
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.20131011,0.0,14
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,0.27372646,0.0,39
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,0.6601791,0.0,8
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,0.9942450999999999,1.0,16
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,0.8634726999999999,1.0,11
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,>50K,0.47459054,0.0,28
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,0.99375147,1.0,47
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,0.9955917999999999,1.0,24
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,0.9964980999999999,1.0,15
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.83239144,1.0,41
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,0.69199044,0.0,6
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.11346293,0.0,45
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,0.9993661,1.0,34
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,0.9874857,1.0,36
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.9387494000000001,1.0,33
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,0.9273394,1.0,6
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.25912854,0.0,35
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,0.998257,1.0,24
54,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,>50K,0.44701692,0.0,1
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,0.6019300999999999,1.0,22
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.63149685,1.0,10
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,0.85563433,1.0,4
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,0.99959785,1.0,11
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,0.8103884,1.0,31
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0.7710473000000001,1.0,30
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,0.9887593000000001,1.0,36
48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,0.9946378,1.0,15
21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,0.99883586,1.0,30
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,0.8634704,1.0,25
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,38,?,>50K,0.85582197,0.0,39
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.432249,1.0,43
31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,0.967208,1.0,41
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.4154021,1.0,17
24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,0.43043859999999995,1.0,17
49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,0.99438804,1.0,29
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,0.9986953000000002,1.0,40
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,0.34726915,0.0,8
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,0.6975045999999999,1.0,5
44,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0.7571916,1.0,6
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.6828717,1.0,10
29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,0.87607193,1.0,4
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,0.5640970999999999,1.0,25
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30,?,<=50K,0.9996617,1.0,26
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,0.056312747,0.0,13
50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,0.59444636,0.0,18
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,0.78818583,1.0,22
43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.43369989999999997,0.0,39
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,0.9690103000000001,1.0,47
35,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,0.88771844,1.0,41
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,0.64845216,1.0,5
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0.82911986,1.0,5
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,0.39309543,1.0,17
32,?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,40,?,<=50K,0.99731797,1.0,23
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.6796954000000001,1.0,33
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.13714333,0.0,45
29,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,0.90059185,1.0,31
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.76973283,1.0,10
28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.99222517,1.0,9
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,0.47451666,0.0,13
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.26625097,0.0,48
25,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,<=50K,0.9994978999999999,1.0,38
19,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,0.99683565,1.0,30
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,0.9951139000000001,1.0,34
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,0.37862766,0.0,12
23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,0.9939714,1.0,20
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,0.7826031,1.0,49
27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,0.9996543,1.0,24
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0.61872315,1.0,41
67,?,10th,Married-civ-spouse,?,Husband,White,Male,2,United-States,<=50K,0.98376036,1.0,1
18,Private,11th,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,0.99973947,1.0,44
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0.9885223,1.0,35
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,0.9963839,1.0,40
52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,0.6568911999999999,1.0,17
46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,0.77401847,1.0,25
59,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,0.5208653,1.0,5
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,0.9610396999999999,0.0,9
53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,0.9740770000000001,1.0,44
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.47177368,0.0,35
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,0.25688076,1.0,41
30,Private,9th,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.95806354,1.0,4
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,0.31902286,0.0,7
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.31488666,1.0,41
37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,0.9821098,1.0,6
28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,0.99971515,1.0,42
30,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,<=50K,0.96429163,1.0,25
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.30230809999999997,0.0,35
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,0.9858096,1.0,20
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.21987632,0.0,12
37,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,0.5218716,0.0,39
48,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,0.8738065999999999,1.0,6
32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,0.9997110999999999,1.0,11
76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.14414862,0.0,14
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.10937717599999999,0.0,14
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,0.7797702,1.0,7
20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,0.99857354,1.0,16
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.9866894,1.0,40
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.69454896,0.0,28
17,?,10th,Never-married,?,Own-child,White,Female,32,United-States,<=50K,0.99995065,1.0,21
30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0.99858725,1.0,19
31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.9898379999999999,1.0,0
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.80549353,1.0,5
24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,0.9924465,1.0,32
