age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class,cluster
69,Felony,Other,Male,0,-1.0,0,0,0,9
34,Felony,African-American,Male,0,-1.0,10,0,1,44
24,Felony,African-American,Male,4,-1.0,1,0,1,0
44,Misdemeanor,Other,Male,0,0.0,1,0,0,11
41,Felony,Caucasian,Male,14,-1.0,6,1,1,29
43,Felony,Other,Male,3,-1.0,0,0,0,9
39,Misdemeanor,Caucasian,Female,0,-1.0,2,0,0,48
27,Felony,Caucasian,Male,0,-1.0,1,0,0,49
23,Misdemeanor,African-American,Male,3,0.0,4,1,1,22
37,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,48
41,Felony,African-American,Male,0,-1.0,0,0,0,44
47,Felony,Caucasian,Female,1,-20.0,14,0,1,24
31,Felony,African-American,Male,7,22.0,3,0,1,20
37,Misdemeanor,Hispanic,Male,0,0.0,0,0,0,10
25,Felony,African-American,Male,3,-1.0,1,1,0,0
31,Felony,Caucasian,Male,6,-1.0,1,1,1,49
31,Felony,Caucasian,Male,5,-1.0,1,0,1,49
64,Felony,African-American,Male,13,-1.0,1,1,1,23
21,Felony,African-American,Male,1,-1.0,3,1,1,0
27,Misdemeanor,Caucasian,Male,0,0.0,0,0,1,3
21,Felony,Caucasian,Female,0,-2.0,1,0,0,8
24,Felony,Hispanic,Male,1,0.0,0,0,1,6
43,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,31
32,Misdemeanor,Other,Male,0,-1.0,1,0,0,21
27,Felony,African-American,Male,8,-1.0,17,0,1,20
26,Felony,African-American,Male,5,-1.0,0,1,1,20
33,Felony,African-American,Male,0,0.0,37,1,1,44
30,Felony,Caucasian,Male,9,0.0,44,1,1,29
32,Felony,African-American,Male,4,-1.0,1,1,1,20
55,Felony,Caucasian,Male,0,-1.0,2,0,0,30
49,Felony,Other,Male,7,-1.0,3,0,1,9
33,Misdemeanor,Caucasian,Female,4,-1.0,11,1,1,48
24,Misdemeanor,Caucasian,Male,1,0.0,1,0,1,3
34,Felony,African-American,Male,21,0.0,33,1,1,32
29,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0,3
21,Felony,African-American,Female,2,-1.0,79,1,0,43
51,Misdemeanor,African-American,Male,2,-1.0,1,0,0,40
29,Misdemeanor,Caucasian,Male,2,-1.0,0,0,1,3
51,Felony,African-American,Female,7,-1.0,1,0,0,47
29,Felony,African-American,Male,0,0.0,0,1,1,0
25,Misdemeanor,Caucasian,Male,9,-1.0,6,1,1,3
35,Felony,African-American,Male,13,-1.0,0,1,1,13
49,Misdemeanor,Caucasian,Male,0,0.0,0,0,0,31
29,Felony,African-American,Male,0,0.0,0,0,0,0
29,Felony,Caucasian,Male,1,-24.0,0,0,1,45
28,Felony,Other,Female,0,-1.0,0,0,0,12
31,Felony,African-American,Male,15,-1.0,135,1,1,13
24,Felony,African-American,Male,2,-1.0,1,0,1,0
30,Misdemeanor,Hispanic,Male,0,0.0,23,1,0,10
49,Misdemeanor,African-American,Male,4,-1.0,0,0,0,40
53,Felony,Caucasian,Male,8,-13.0,13,1,0,33
35,Felony,African-American,Male,5,-1.0,0,0,0,20
